NewYear,USAbuy,USAsell,HongKong,HongKong_buy,HongKong_sell,Japan,Japan_buy,Japan_sell,Korea,Korea_buy,Korea_sell,China,China_buy,China_sell
20151202,32.33,32.872,20151202,4.064,4.26,20151202,0.2575,0.2682,20151202,0.02627,0.03034,20151202,4.978,5.14
20151201,32.345,32.887,20151201,4.065,4.261,20151201,0.258,0.2687,20151201,0.02639,0.03048,20151201,4.977,5.139
20151130,32.24,32.782,20151130,4.054,4.249,20151130,0.2573,0.268,20151130,0.02633,0.03042,20151130,4.97,5.132
20151127,32.26,32.802,20151127,4.056,4.251,20151127,0.2583,0.2691,20151127,0.02642,0.03052,20151127,4.957,5.119
20151126,32.19,32.732,20151126,4.047,4.242,20151126,0.2573,0.268,20151126,0.02646,0.03057,20151126,4.963,5.125
20151125,32.145,32.687,20151125,4.041,4.236,20151125,0.2576,0.2683,20151125,0.02657,0.03069,20151125,4.964,5.126
20151124,32.22,32.762,20151124,4.051,4.246,20151124,0.2575,0.2682,20151124,0.02641,0.03051,20151124,4.97,5.132
20151123,32.26,32.802,20151123,4.056,4.251,20151123,0.2567,0.2674,20151123,0.02628,0.03035,20151123,4.972,5.134
20151120,32.205,32.747,20151120,4.049,4.244,20151120,0.2566,0.2673,20151120,0.02634,0.03043,20151120,4.979,5.141
20151119,32.305,32.847,20151119,4.061,4.257,20151119,0.2567,0.2674,20151119,0.02625,0.03032,20151119,4.996,5.159
20151118,32.45,32.992,20151118,4.079,4.275,20151118,0.2579,0.2686,20151118,0.02615,0.0302,20151118,5.015,5.179
20151117,32.43,32.972,20151117,4.077,4.273,20151117,0.2579,0.2686,20151117,0.02615,0.0302,20151117,5.024,5.188
20151116,32.435,32.977,20151116,4.077,4.273,20151116,0.2592,0.27,20151116,0.02616,0.03021,20151116,5.028,5.192
20151113,32.35,32.892,20151113,4.067,4.263,20151113,0.2583,0.2691,20151113,0.0262,0.03027,20151113,5.003,5.167
20151112,32.34,32.882,20151112,4.065,4.261,20151112,0.2578,0.2685,20151112,0.02636,0.03045,20151112,5.015,5.179
20151111,32.335,32.877,20151111,4.064,4.26,20151111,0.2578,0.2685,20151111,0.02645,0.03055,20151111,5.016,5.18
20151110,32.35,32.892,20151110,4.066,4.262,20151110,0.257,0.2677,20151110,0.02639,0.03048,20151110,5.02,5.184
20151109,32.31,32.852,20151109,4.061,4.257,20151109,0.2566,0.2673,20151109,0.02636,0.03045,20151109,5.014,5.178
20151106,32.125,32.667,20151106,4.038,4.233,20151106,0.2583,0.2691,20151106,0.02658,0.0307,20151106,5,5.164
20151105,32.06,32.602,20151105,4.03,4.225,20151105,0.258,0.2687,20151105,0.0266,0.03072,20151105,4.99,5.153
20151104,31.99,32.532,20151104,4.022,4.216,20151104,0.2589,0.2697,20151104,0.02671,0.03085,20151104,4.995,5.158
20151103,32.07,32.612,20151103,4.032,4.227,20151103,0.2606,0.2714,20151103,0.02675,0.03089,20151103,5.011,5.175
20151102,32.085,32.627,20151102,4.033,4.228,20151102,0.2611,0.2719,20151102,0.0266,0.03072,20151102,5.014,5.178
20151030,32.09,32.632,20151030,4.034,4.229,20151030,0.2604,0.2712,20151030,0.02666,0.0308,20151030,5.035,5.199
20151029,32.17,32.712,20151029,4.045,4.24,20151029,0.2611,0.2719,20151029,0.02659,0.03071,20151029,5.009,5.173
20151028,32.085,32.627,20151028,4.033,4.228,20151028,0.2612,0.272,20151028,0.02683,0.03099,20151028,4.972,5.134
20151027,32.075,32.617,20151027,4.032,4.227,20151027,0.261,0.2718,20151027,0.02677,0.03093,20151027,4.976,5.138
20151026,32.06,32.602,20151026,4.03,4.225,20151026,0.2598,0.2706,20151026,0.02675,0.0309,20151026,4.972,5.134
20151023,31.99,32.532,20151023,4.022,4.216,20151023,0.2605,0.2713,20151023,0.0268,0.03096,20151023,4.963,5.125
20151022,32.08,32.622,20151022,4.033,4.228,20151022,0.263,0.2738,20151022,0.02662,0.03075,20151022,4.986,5.146
20151021,32.05,32.592,20151021,4.03,4.224,20151021,0.2623,0.2731,20151021,0.02662,0.03075,20151021,4.993,5.153
20151020,32.01,32.552,20151020,4.025,4.219,20151020,0.2624,0.2732,20151020,0.02679,0.03095,20151020,4.982,5.142
20151019,31.945,32.487,20151019,4.017,4.211,20151019,0.2625,0.2733,20151019,0.0269,0.03108,20151019,4.973,5.133
20151016,31.965,32.507,20151016,4.019,4.213,20151016,0.2632,0.274,20151016,0.02675,0.03089,20151016,4.987,5.147
20151015,31.885,32.427,20151015,4.009,4.203,20151015,0.2643,0.2751,20151015,0.02674,0.03088,20151015,4.984,5.144
20151014,32.135,32.677,20151014,4.04,4.235,20151014,0.2635,0.2743,20151014,0.02649,0.0306,20151014,5.021,5.182
20151013,32.13,32.672,20151013,4.039,4.234,20151013,0.2632,0.274,20151013,0.02642,0.03052,20151013,5.029,5.191
20151012,31.99,32.532,20151012,4.022,4.216,20151012,0.2611,0.2718,20151012,0.02645,0.03055,20151012,5.022,5.184
20151008,32.23,32.772,20151008,4.052,4.247,20151008,0.2639,0.2747,20151008,0.02627,0.03034,20151008,5.031,5.193
20151007,32.235,32.777,20151007,4.053,4.248,20151007,0.2635,0.2743,20151007,0.02634,0.03043,20151007,5.046,5.208
20151006,32.375,32.917,20151006,4.07,4.266,20151006,0.2641,0.2749,20151006,0.02616,0.03021,20151006,5.052,5.214
20151005,32.395,32.937,20151005,4.073,4.269,20151005,0.2645,0.2752,20151005,0.02614,0.03019,20151005,5.055,5.215
20151002,32.545,33.087,20151002,4.091,4.289,20151002,0.2661,0.2768,20151002,0.02604,0.03008,20151002,5.065,5.226
20151001,32.41,32.952,20151001,4.075,4.271,20151001,0.2647,0.2754,20151001,0.02603,0.03006,20151001,5.055,5.215
20150930,32.52,33.062,20150930,4.088,4.286,20150930,0.2659,0.2766,20150930,0.02594,0.02997,20150930,5.081,5.243
20150929,32.65,33.192,20150929,4.105,4.303,20150929,0.2673,0.2781,20150929,0.02574,0.02974,20150929,5.087,5.252
20150925,32.65,33.192,20150925,4.105,4.303,20150925,0.2654,0.2761,20150925,0.02584,0.02985,20150925,5.054,5.219
20150924,32.545,33.087,20150924,4.091,4.289,20150924,0.2656,0.2768,20150924,0.02574,0.02974,20150924,5.019,5.183
20150923,32.465,33.007,20150923,4.082,4.278,20150923,0.2643,0.2755,20150923,0.02579,0.02979,20150923,5.008,5.171
20150922,32.255,32.797,20150922,4.056,4.251,20150922,0.263,0.2741,20150922,0.02584,0.02985,20150922,4.994,5.157
20150921,32.195,32.737,20150921,4.048,4.243,20150921,0.2624,0.2735,20150921,0.02587,0.02988,20150921,4.982,5.144
20150918,32,32.542,20150918,4.024,4.218,20150918,0.2623,0.2734,20150918,0.02601,0.03004,20150918,4.959,5.121
20150917,32.05,32.592,20150917,4.03,4.224,20150917,0.2595,0.2705,20150917,0.02597,0.03,20150917,4.964,5.126
20150916,32.17,32.712,20150916,4.045,4.24,20150916,0.2619,0.273,20150916,0.02589,0.02991,20150916,4.981,5.143
20150915,32.2,32.742,20150915,4.048,4.243,20150915,0.2638,0.2749,20150915,0.02574,0.02974,20150915,4.986,5.148
20150914,32.165,32.707,20150914,4.044,4.239,20150914,0.262,0.2731,20150914,0.02573,0.02972,20150914,4.981,5.143
20150911,32.185,32.727,20150911,4.046,4.241,20150911,0.2613,0.2724,20150911,0.02566,0.02964,20150911,4.975,5.137
20150910,32.14,32.682,20150910,4.041,4.236,20150910,0.2603,0.2713,20150910,0.02544,0.02938,20150910,4.955,5.117
20150909,32.2,32.742,20150909,4.048,4.243,20150909,0.2612,0.2723,20150909,0.02551,0.02947,20150909,4.943,5.105
20150908,32.33,32.872,20150908,4.064,4.26,20150908,0.2635,0.2746,20150908,0.02552,0.02948,20150908,4.958,5.12
20150907,32.335,32.877,20150907,4.065,4.261,20150907,0.2654,0.2766,20150907,0.02537,0.02931,20150907,4.96,5.122
20150904,32.2,32.742,20150904,4.048,4.243,20150904,0.2643,0.2755,20150904,0.02554,0.0295,20150904,4.949,5.111
20150903,32.145,32.687,20150903,4.041,4.236,20150903,0.2614,0.2725,20150903,0.02555,0.02951,20150903,4.95,5.112
20150902,32.115,32.657,20150902,4.038,4.233,20150902,0.2619,0.273,20150902,0.02566,0.02964,20150902,4.952,5.114
20150901,32.04,32.582,20150901,4.029,4.223,20150901,0.2612,0.2723,20150901,0.02577,0.02977,20150901,4.952,5.114
