"Date","Currency of Price","BuyingPrice","SellingPrice"
20151113,Taiwan Dollar (TWD),1133,1147
20151112,Taiwan Dollar (TWD),1136,1150
20151111,Taiwan Dollar (TWD),1141,1155
20151110,Taiwan Dollar (TWD),1144,1158
20151109,Taiwan Dollar (TWD),1141,1155
20151106,Taiwan Dollar (TWD),1152,1166
20151105,Taiwan Dollar (TWD),1150,1164
20151104,Taiwan Dollar (TWD),1158,1172
20151103,Taiwan Dollar (TWD),1178,1192
20151102,Taiwan Dollar (TWD),1186,1200
20151030,Taiwan Dollar (TWD),1191,1206
20151029,Taiwan Dollar (TWD),1205,1220
20151028,Taiwan Dollar (TWD),1212,1227
20151027,Taiwan Dollar (TWD),1206,1221
20151026,Taiwan Dollar (TWD),1205,1220
20151023,Taiwan Dollar (TWD),1210,1225
20151022,Taiwan Dollar (TWD),1209,1224
20151021,Taiwan Dollar (TWD),1214,1229
20151020,Taiwan Dollar (TWD),1211,1226
20151019,Taiwan Dollar (TWD),1206,1221
20151016,Taiwan Dollar (TWD),1210,1225
20151015,Taiwan Dollar (TWD),1217,1232
20151014,Taiwan Dollar (TWD),1215,1230
20151013,Taiwan Dollar (TWD),1200,1215
20151012,Taiwan Dollar (TWD),1201,1216
20151008,Taiwan Dollar (TWD),1190,1205
20151007,Taiwan Dollar (TWD),1196,1211
20151006,Taiwan Dollar (TWD),1191,1206
20151005,Taiwan Dollar (TWD),1189,1203
20151002,Taiwan Dollar (TWD),1167,1181
20151001,Taiwan Dollar (TWD),1166,1180
20150930,Taiwan Dollar (TWD),1182,1196
20150925,Taiwan Dollar (TWD),1206,1221
20150924,Taiwan Dollar (TWD),1192,1207
20150923,Taiwan Dollar (TWD),1183,1197
20150922,Taiwan Dollar (TWD),1181,1195
20150921,Taiwan Dollar (TWD),1182,1196
20150918,Taiwan Dollar (TWD),1166,1180
20150917,Taiwan Dollar (TWD),1159,1173
20150916,Taiwan Dollar (TWD),1151,1165
20150915,Taiwan Dollar (TWD),1154,1168
20150914,Taiwan Dollar (TWD),1152,1166
20150911,Taiwan Dollar (TWD),1155,1169
20150910,Taiwan Dollar (TWD),1153,1167
20150909,Taiwan Dollar (TWD),1167,1181
20150908,Taiwan Dollar (TWD),1173,1187
20150907,Taiwan Dollar (TWD),1173,1187
20150904,Taiwan Dollar (TWD),1171,1185
20150903,Taiwan Dollar (TWD),1179,1193
20150902,Taiwan Dollar (TWD),1187,1201
20150901,Taiwan Dollar (TWD),1182,1196
20150831,Taiwan Dollar (TWD),1180,1194
20150828,Taiwan Dollar (TWD),1166,1180
20150827,Taiwan Dollar (TWD),1168,1181
20150826,Taiwan Dollar (TWD),1180,1194
20150825,Taiwan Dollar (TWD),1197,1212
20150824,Taiwan Dollar (TWD),1210,1225
20150821,Taiwan Dollar (TWD),1203,1218
20150820,Taiwan Dollar (TWD),1180,1194
20150819,Taiwan Dollar (TWD),1164,1177
20150818,Taiwan Dollar (TWD),1160,1174
20150817,Taiwan Dollar (TWD),1152,1166
20150814,Taiwan Dollar (TWD),1145,1159
20150813,Taiwan Dollar (TWD),1150,1164
20150812,Taiwan Dollar (TWD),1149,1163
20150811,Taiwan Dollar (TWD),1120,1134
20150810,Taiwan Dollar (TWD),1110,1123
20150807,Taiwan Dollar (TWD),1108,1121
20150806,Taiwan Dollar (TWD),1099,1112
20150805,Taiwan Dollar (TWD),1098,1111
20150804,Taiwan Dollar (TWD),1100,1113
20150803,Taiwan Dollar (TWD),1106,1119
20150731,Taiwan Dollar (TWD),1093,1106
20150730,Taiwan Dollar (TWD),1091,1104
20150729,Taiwan Dollar (TWD),1103,1116
20150728,Taiwan Dollar (TWD),1103,1116
20150727,Taiwan Dollar (TWD),1110,1123
20150724,Taiwan Dollar (TWD),1089,1102
20150723,Taiwan Dollar (TWD),1097,1110
20150722,Taiwan Dollar (TWD),1091,1104
20150721,Taiwan Dollar (TWD),1104,1117
20150720,Taiwan Dollar (TWD),1113,1127
20150717,Taiwan Dollar (TWD),1138,1152
20150716,Taiwan Dollar (TWD),1139,1153
20150715,Taiwan Dollar (TWD),1144,1158
20150714,Taiwan Dollar (TWD),1145,1159
20150713,Taiwan Dollar (TWD),1151,1165
20150709,Taiwan Dollar (TWD),1153,1167
20150708,Taiwan Dollar (TWD),1142,1156
20150707,Taiwan Dollar (TWD),1156,1170
20150706,Taiwan Dollar (TWD),1155,1169
20150703,Taiwan Dollar (TWD),1155,1169
20150702,Taiwan Dollar (TWD),1151,1165
20150701,Taiwan Dollar (TWD),1160,1174
20150630,Taiwan Dollar (TWD),1159,1173
20150629,Taiwan Dollar (TWD),1169,1183
20150626,Taiwan Dollar (TWD),1159,1173
20150625,Taiwan Dollar (TWD),1162,1176
20150624,Taiwan Dollar (TWD),1163,1177
20150623,Taiwan Dollar (TWD),1169,1183
20150622,Taiwan Dollar (TWD),1175,1189
20150618,Taiwan Dollar (TWD),1172,1186
20150617,Taiwan Dollar (TWD),1166,1180
20150616,Taiwan Dollar (TWD),1173,1187
20150615,Taiwan Dollar (TWD),1173,1187
20150612,Taiwan Dollar (TWD),1172,1186
20150611,Taiwan Dollar (TWD),1171,1185
20150610,Taiwan Dollar (TWD),1172,1186
20150609,Taiwan Dollar (TWD),1170,1184
20150608,Taiwan Dollar (TWD),1166,1180
20150605,Taiwan Dollar (TWD),1159,1173
20150604,Taiwan Dollar (TWD),1166,1180
20150603,Taiwan Dollar (TWD),1171,1185
20150602,Taiwan Dollar (TWD),1175,1189
20150601,Taiwan Dollar (TWD),1167,1181
20150529,Taiwan Dollar (TWD),1167,1181
20150528,Taiwan Dollar (TWD),1164,1178
20150527,Taiwan Dollar (TWD),1165,1179
20150526,Taiwan Dollar (TWD),1169,1183
20150525,Taiwan Dollar (TWD),1175,1189
20150522,Taiwan Dollar (TWD),1176,1190
20150521,Taiwan Dollar (TWD),1179,1193
20150520,Taiwan Dollar (TWD),1176,1190
20150519,Taiwan Dollar (TWD),1187,1201
20150518,Taiwan Dollar (TWD),1192,1207
20150515,Taiwan Dollar (TWD),1187,1201
20150514,Taiwan Dollar (TWD),1188,1202
20150513,Taiwan Dollar (TWD),1172,1186
20150512,Taiwan Dollar (TWD),1163,1177
20150511,Taiwan Dollar (TWD),1163,1177
20150508,Taiwan Dollar (TWD),1164,1178
20150507,Taiwan Dollar (TWD),1161,1175
20150506,Taiwan Dollar (TWD),1168,1182
20150505,Taiwan Dollar (TWD),1166,1180
20150504,Taiwan Dollar (TWD),1161,1175
20150430,Taiwan Dollar (TWD),1178,1192
20150429,Taiwan Dollar (TWD),1178,1192
20150428,Taiwan Dollar (TWD),1174,1188
20150427,Taiwan Dollar (TWD),1156,1170
20150424,Taiwan Dollar (TWD),1183,1197
20150423,Taiwan Dollar (TWD),1178,1192
20150422,Taiwan Dollar (TWD),1193,1208
20150421,Taiwan Dollar (TWD),1188,1202
20150420,Taiwan Dollar (TWD),1195,1210
20150417,Taiwan Dollar (TWD),1195,1210
20150416,Taiwan Dollar (TWD),1200,1215
20150415,Taiwan Dollar (TWD),1190,1205
20150414,Taiwan Dollar (TWD),1192,1207
20150413,Taiwan Dollar (TWD),1204,1219
20150410,Taiwan Dollar (TWD),1191,1206
20150409,Taiwan Dollar (TWD),1188,1202
20150408,Taiwan Dollar (TWD),1203,1218
20150407,Taiwan Dollar (TWD),1200,1215
20150402,Taiwan Dollar (TWD),1203,1218
20150401,Taiwan Dollar (TWD),1186,1200
20150331,Taiwan Dollar (TWD),1181,1195
20150330,Taiwan Dollar (TWD),1189,1203
20150327,Taiwan Dollar (TWD),1202,1217
20150326,Taiwan Dollar (TWD),1202,1217
20150325,Taiwan Dollar (TWD),1190,1204
20150324,Taiwan Dollar (TWD),1191,1205
20150323,Taiwan Dollar (TWD),1189,1203
20150320,Taiwan Dollar (TWD),1177,1191
20150319,Taiwan Dollar (TWD),1179,1193
20150318,Taiwan Dollar (TWD),1156,1170
20150317,Taiwan Dollar (TWD),1168,1182
20150316,Taiwan Dollar (TWD),1175,1189
20150313,Taiwan Dollar (TWD),1174,1188
20150312,Taiwan Dollar (TWD),1180,1194
20150311,Taiwan Dollar (TWD),1178,1192
20150310,Taiwan Dollar (TWD),1170,1184
20150309,Taiwan Dollar (TWD),1182,1196
20150306,Taiwan Dollar (TWD),1204,1219
20150305,Taiwan Dollar (TWD),1209,1224
20150304,Taiwan Dollar (TWD),1210,1225
20150303,Taiwan Dollar (TWD),1212,1227
20150302,Taiwan Dollar (TWD),1224,1239
20150226,Taiwan Dollar (TWD),1214,1229
20150225,Taiwan Dollar (TWD),1218,1233
20150224,Taiwan Dollar (TWD),1212,1227
20150217,Taiwan Dollar (TWD),1234,1249
20150216,Taiwan Dollar (TWD),1241,1256
20150213,Taiwan Dollar (TWD),1234,1249
20150212,Taiwan Dollar (TWD),1233,1248
20150211,Taiwan Dollar (TWD),1245,1260
20150210,Taiwan Dollar (TWD),1252,1267
20150209,Taiwan Dollar (TWD),1248,1263
20150206,Taiwan Dollar (TWD),1271,1287
20150205,Taiwan Dollar (TWD),1277,1293
20150204,Taiwan Dollar (TWD),1268,1283
20150203,Taiwan Dollar (TWD),1288,1304
20150202,Taiwan Dollar (TWD),1289,1305
20150130,Taiwan Dollar (TWD),1268,1283
20150129,Taiwan Dollar (TWD),1282,1298
20150128,Taiwan Dollar (TWD),1285,1301
20150127,Taiwan Dollar (TWD),1280,1296
20150126,Taiwan Dollar (TWD),1291,1307
20150123,Taiwan Dollar (TWD),1294,1310
20150122,Taiwan Dollar (TWD),1291,1307
20150121,Taiwan Dollar (TWD),1307,1323
20150120,Taiwan Dollar (TWD),1288,1304
20150119,Taiwan Dollar (TWD),1281,1297
20150116,Taiwan Dollar (TWD),1269,1284
20150115,Taiwan Dollar (TWD),1244,1259
20150114,Taiwan Dollar (TWD),1250,1265
20150113,Taiwan Dollar (TWD),1256,1271
20150112,Taiwan Dollar (TWD),1249,1264
20150109,Taiwan Dollar (TWD),1235,1250
20150108,Taiwan Dollar (TWD),1232,1247
20150107,Taiwan Dollar (TWD),1238,1253
20150106,Taiwan Dollar (TWD),1233,1248
20150105,Taiwan Dollar (TWD),1222,1237
20141231,Taiwan Dollar (TWD),1210,1225
20141230,Taiwan Dollar (TWD),1204,1219
20141229,Taiwan Dollar (TWD),1211,1226
20141227,Taiwan Dollar (TWD),1211,1230
20141226,Taiwan Dollar (TWD),1203,1219
20141225,Taiwan Dollar (TWD),1191,1210
20141224,Taiwan Dollar (TWD),1199,1214
20141223,Taiwan Dollar (TWD),1199,1214
20141222,Taiwan Dollar (TWD),1210,1225
20141219,Taiwan Dollar (TWD),1204,1219
20141218,Taiwan Dollar (TWD),1201,1216
20141217,Taiwan Dollar (TWD),1198,1213
20141216,Taiwan Dollar (TWD),1198,1213
20141215,Taiwan Dollar (TWD),1220,1235
20141212,Taiwan Dollar (TWD),1219,1234
20141211,Taiwan Dollar (TWD),1218,1233
20141210,Taiwan Dollar (TWD),1232,1247
20141209,Taiwan Dollar (TWD),1199,1214
20141208,Taiwan Dollar (TWD),1189,1203
20141205,Taiwan Dollar (TWD),1197,1211
20141204,Taiwan Dollar (TWD),1196,1211
20141203,Taiwan Dollar (TWD),1192,1206
20141202,Taiwan Dollar (TWD),1196,1210
20141201,Taiwan Dollar (TWD),1150,1163
20141128,Taiwan Dollar (TWD),1174,1188
20141127,Taiwan Dollar (TWD),1180,1194
20141126,Taiwan Dollar (TWD),1185,1198
20141125,Taiwan Dollar (TWD),1182,1196
20141124,Taiwan Dollar (TWD),1184,1198
20141121,Taiwan Dollar (TWD),1180,1194
20141120,Taiwan Dollar (TWD),1170,1184
20141119,Taiwan Dollar (TWD),1173,1187
20141118,Taiwan Dollar (TWD),1166,1179
20141117,Taiwan Dollar (TWD),1163,1177
