year,month,day,LH,LP,LM,LB,LC
2015,10,1,55.2,99.6,30.3,17.2,16.3
2015,10,2,42.0,63.1,28.6,14.2,14.8
2015,10,3,45.6,82.7,31.8,16.0,13.8
2015,10,4,43.7,92.2,37.4,23.7,13.0
2015,10,5,70.0,40.0,35.3,17.1,10.4
2015,10,6,55.7,148.4,41.0,28.8,14.0
2015,10,7,62.6,130.0,42.7,32.0,15.6
2015,10,8,64.1,151.0,40.8,35.2,16.7
2015,10,9,74.6,192.9,45.5,35.8,18.9
2015,10,10,82.4,196.0,46.0,32.8,20.6
2015,10,11,81.1,184.4,47.0,38.0,22.6
2015,10,12,82.0,184.4,56.6,30.3,18.0
2015,10,13,77.1,188.7,54.5,41.1,24.7
2015,10,14,71.6,169.8,62.6,46.7,25.6
2015,10,15,81.0,165.1,68.9,50.0,26.5
2015,10,16,92.4,193.5,71.4,55.0,28.2
2015,10,17,99.3,225.9,70.3,58.5,29.4
2015,10,18,86.9,206.6,62.6,56.5,33.0
2015,10,19,98.7,206.6,73.3,52.6,26.2
2015,10,20,87.8,204.6,62.9,50.1,29.0
2015,10,21,78.4,195.2,49.9,39.9,26.0
2015,10,22,64.8,157.9,46.8,32.0,22.7
2015,10,23,60.0,137.9,41.4,23.8,21.0
2015,10,24,59.3,117.0,38.4,22.2,20.0
2015,10,25,58.2,80.0,32.2,24.7,19.2
2015,10,26,63.7,131.4,53.7,20.7,16.2
2015,10,27,51.5,112.8,38.4,30.9,19.2
2015,10,28,47.0,87.2,41.3,38.9,18.6
2015,10,29,48.7,62.1,44.5,43.5,18.0
2015,10,30,45.1,53.6,42.9,44.9,18.0
2015,10,31,45.9,51.7,44.6,40.5,18.0
2015,11,1,50.6,71.9,37.5,39.4,17.6
2015,11,2,51.5,115.0,54.3,30.0,16.7
2015,11,3,50.4,58.5,41.0,35.5,17.1
2015,11,4,49.4,53.6,41.0,32.9,16.0
2015,11,5,48.3,46.8,40.8,31.1,14.6
2015,11,6,48.4,43.5,38.5,29.6,13.9
2015,11,7,47.9,40.1,34.8,26.9,12.1
2015,11,8,44.5,34.1,31.8,24.5,12.9
2015,11,9,39.1,66.5,35.3,19.9,10.8
2015,11,10,33.9,34.2,30.1,18.9,12.8
2015,11,11,32.0,29.1,29.7,17.5,13.2
2015,11,12,29.1,28.9,27.6,15.9,11.9
2015,11,13,27.7,32.8,26.3,14.8,11.1
2015,11,14,28.1,37.2,25.6,13.2,10.7
2015,11,15,28.6,35.7,28.4,14.3,10.7
2015,11,16,29.9,35.7,24.7,12.0,9.0
2015,11,17,28.6,32.3,26.9,13.7,9.7
2015,11,18,24.8,30.4,22.5,12.7,8.9
2015,11,19,23.0,27.7,23.2,12.9,8.1
2015,11,20,21.5,24.5,23.5,12.8,7.2
2015,11,21,22.5,25.7,26.6,13.4,7.0
2015,11,22,28.5,27.6,24.1,18.2,9.8
2015,11,23,24.1,50.0,43.3,14.5,6.5
2015,11,24,28.2,27.0,32.7,18.8,9.1
2015,11,25,30.9,28.5,37.7,19.4,9.3
2015,11,26,34.1,29.1,39.4,18.7,10.8
2015,11,27,39.1,29.8,39.6,19.5,12.6
2015,11,28,41.9,32.5,43.5,20.9,11.9
2015,11,29,42.1,30.8,34.9,22.6,12.5
2015,11,30,46.1,77.0,50.2,24.6,11.5
2015,12,1,42.8,31.1,50.2,23.3,12.9
2015,12,2,39.3,31.3,47.6,21.3,13.0
2015,12,3,31.9,30.4,46.0,17.8,12.0
2015,12,4,27.7,29.7,45.5,15.0,11.0
2015,12,5,25.5,31.0,45.3,15.2,10.5
2015,12,6,24.9,33.2,35.6,14.5,10.5
2015,12,7,22.3,70.5,54.0,16.6,9.7
2015,12,8,23.4,36.1,47.5,15.9,11.4
2015,12,9,23.5,34.0,41.0,15.6,11.2
2015,12,10,23.4,34.6,41.2,16.3,11.7
2015,12,11,26.4,36.0,40.6,17.5,12.3
2015,12,12,20.2,37.1,42.3,12.5,12.1
2015,12,13,17.3,30.5,39.0,11.7,12.2
2015,12,14,21.4,93.7,47.1,15.1,10.2
2015,12,15,18.7,28.3,39.9,13.5,10.7
2015,12,16,18.6,25.8,38.8,14.5,9.9
2015,12,17,19.6,26.0,35.8,14.1,9.6
2015,12,18,21.6,28.7,36.6,14.6,9.9
2015,12,19,24.2,32.6,36.7,16.4,10.0
2015,12,20,28.2,28.9,36.7,16.5,11.2
2015,12,21,23.5,80.0,44.2,18.6,9.4
2015,12,22,24.7,30.2,40.6,16.8,10.2
2015,12,23,21.4,27.7,32.8,15.2,9.2
2015,12,24,16.3,25.7,31.6,13.8,8.5
2015,12,25,14.3,24.3,28.7,12.4,8.6
2015,12,26,14.4,27.6,28.2,12.3,7.8
2015,12,27,14.1,27.6,23.6,12.0,8.1
2015,12,28,16.5,27.6,35.9,13.8,7.5
2015,12,29,15.1,28.5,28.0,13.5,7.8
2015,12,30,15.9,28.2,28.8,12.8,8.2
2015,12,31,16.7,27.0,31.3,12.6,7.1
2016,1,1,17.2,27.6,31.4,12.1,7.3
2016,1,2,20.4,32.6,30.8,13.2,8.0
2016,1,3,23.8,37.4,24.1,15.8,9.9
2016,1,4,18.9,74.6,44.5,13.7,6.4
2016,1,5,20.0,34.5,29.9,14.0,7.7
2016,1,6,16.0,27.5,29.5,11.9,6.6
2016,1,7,16.4,23.4,25.1,14.3,6.5
2016,1,8,14.5,25.7,23.3,12.8,6.0
2016,1,9,14.6,26.6,22.7,14.6,6.1
2016,1,10,16.3,28.9,23.7,16.8,6.3
2016,1,11,14.0,53.9,35.9,15.2,5.9
2016,1,12,21.6,29.2,28.1,21.1,7.0
2016,1,13,17.5,26.9,26.1,16.1,6.8
2016,1,14,19.2,28.3,26.4,16.1,7.1
2016,1,15,21.3,32.3,26.6,18.9,6.9
2016,1,16,28.9,36.3,29.8,23.3,7.0
2016,1,17,30.1,31.4,28.2,22.3,7.9
2016,1,18,32.6,31.4,46.8,26.0,5.5
2016,1,19,32.8,37.5,34.0,24.1,8.0
2016,1,20,33.2,40.9,34.0,25.1,9.0
